depolarizing_noise,attack_intensity,qber,entropy,key_rate,channel_loss,ai_attack_likelihood,lagrangian_base,var_k_raw,neg_slope_raw,var_k_norm,neg_slope_norm,curvature_norm,precritical_gate,critical_instability_potential,lagrangian_predictive
0.018000000000000002,0.05,0.024596000000000003,0.16652077326928474,0.6669584534614306,0.1748663101604278,0.07319859620148639,-0.021836508965579315,0.002580860710447269,6.087298198902893,0.920731574618655,0.9132786733407243,0.2316347011747022,0.0,0.0,-0.021836508965579315
0.024,0.05,0.027967999999999996,0.18409680754635085,0.6318063849072983,0.19572192513368986,0.07946366639141206,-0.0029170927156458998,0.0023960595374080177,5.858678092355372,0.8545359354514462,0.8789787490090453,0.1941193496168501,0.0,0.0,-0.0029170927156458998
0.03,0.05,0.03134,0.2010680091550257,0.5978639816899486,0.21657754010695185,0.08572873658133773,0.015548699032994079,0.002238214778276206,5.6570672028916285,0.7979960631763655,0.848731023393488,0.16490471699280532,0.0,0.0,0.015548699032994079
0.036000000000000004,0.05,0.03471200000000001,0.2174978409563134,0.5650043180873732,0.23743315508021393,0.09199380677126343,0.03360846342609369,0.0021010508977334454,5.476610600429232,0.7488640658310121,0.8216570800597878,0.14149567012470096,0.0,0.0,0.03360846342609369
0.042,0.05,0.03808400000000001,0.23343735853706324,0.5331252829258735,0.2582887700534759,0.0982588769611891,0.05130049215378989,0.0019802217082527046,5.313172526916619,0.7055831423596304,0.7971364303275528,0.12231095360256672,0.0,0.0,0.05130049215378989
0.048,0.05,0.041456,0.24892852608372595,0.5021429478325481,0.27914438502673794,0.10452394715111477,0.06865625835592074,0.0018725958071698794,5.16372251555423,0.6670316267174046,0.7747144126034339,0.10629816424883336,0.0,0.0,0.06865625835592074
0.054,0.05,0.044828,0.26400644609768564,0.4719871078046287,0.3,0.11078901734104046,0.08570208890852431,0.0017758448695833426,5.0259733379865645,0.6323755147012365,0.7540478735195678,0.09272893464165424,0.0,0.0,0.08570208890852431
0.06,0.05,0.0482,0.2787009144102089,0.4425981711795822,0.32085561497326204,0.11705408753096613,0.1024603306850506,0.001688192561179487,4.898156104174417,0.6009785247154525,0.7348714261184732,0.08108274990446457,0.0,0.0,0.1024603306850506
0.066,0.05,0.05157200000000001,0.2930375379440037,0.41392492411199255,0.34171122994652403,0.12331915772089183,0.11895018887753056,0.001608254266618234,4.778874511264941,0.5723446886017888,0.7169755827793103,0.0709775422428623,0.0,0.0,0.11895018887753056
0.07200000000000001,0.05,0.054944000000000014,0.30703855891799875,0.3859228821640025,0.3625668449197861,0.12958422791081753,0.13518834515016065,0.001534930878951683,4.667006991331672,0.5460803070901983,0.7001920744220252,0.062126421015085684,0.0,0.0,0.13518834515016065
0.078,0.05,0.05831600000000001,0.3207234759850236,0.3585530480299528,0.38342245989304813,0.1358492981007432,0.15118942349256315,0.001467336166823319,4.561639022341622,0.5218679327850299,0.6843836951070145,0.05430971048649314,0.0,0.0,0.15118942349256315
0.084,0.05,0.061688,0.33410952124580573,0.33178095750838854,0.4042780748663102,0.14211436829066884,0.16696634798028354,0.0014047457553309944,4.462015086927373,0.49944809514908034,0.6694370943992479,0.04735631721035637,0.0,0.0,0.16696634798028354
0.09,0.05,0.06505999999999999,0.34721203266841016,0.30557593466317967,0.4251336898395721,0.14837943848059454,0.18253062208937068,0.0013465604502518036,4.367503807534818,0.47860616326892935,0.6552575465868993,0.04113098055882173,0.0,0.0,0.18253062208937068
0.096,0.05,0.06843199999999999,0.3600447491031696,0.27991050179366084,0.4459893048128342,0.15464450867052018,0.19789254995757408,0.001292279335396711,4.277572144919802,0.4591627093478964,0.6417650796761818,0.03552534425188644,0.0,0.0,0.19789254995757408
0.10200000000000001,0.05,0.07180400000000002,0.3726200470171983,0.2547599059656034,0.4668449197860963,0.16090957886044593,0.21306141393522948,0.001241479684545447,4.191765971342905,0.4409663131764489,0.6288915607835349,0.03045157456973983,0.0,0.0,0.21306141393522948
0.108,0.05,0.07517599999999999,0.3849491326676423,0.2301017346647154,0.4877005347593583,0.16717464905037158,0.22804561871519627,0.0011938017228184754,4.1096952168146705,0.42388810366726865,0.6165784676235634,0.02583771516239317,0.0,0.0,0.22804561871519627
