depolarizing_noise,phase_noise,attack_intensity,qber,entropy,key_rate,channel_loss,ai_attack_likelihood,path_coordinate,lagrangian_base,var_k_raw,neg_slope_raw,var_k_norm,neg_slope_norm,curvature_norm,precritical_gate,critical_instability_potential,lagrangian_predictive,delta_coord,action_base_increment,action_predictive_increment,action_base,action_predictive,normalized_action,action_velocity,action_acceleration,collapse,trajectory_name,dL_dq,dL_dk,d2L_path,stationarity_residual
0.06,0.06,0.3,0.06839999999999999,0.3599241961364111,0.28015160772717784,0.32085561497326204,0.31499999999999995,0.06,0.21286427009696068,0.0014346687664115267,4.509281193495549,0.6738604104225224,0.7933583402650485,0.09828148763418387,0.0,0.0,0.21286427009696068,0.005999999999999998,0.0012771856205817638,0.0012771856205817638,0.00771357971089177,0.00771357971089177,0.00727696199140733,0.2217906091105093,2.97585505806488,0,physical_noise_dominant,5.056261783096062,-0.6709638815124723,-5.961064705862242,5.727225664608534
0.066,0.06,0.3,0.071952,0.3731662695130039,0.2536674609739922,0.34171122994652403,0.33000000000000007,0.066,0.23071694812405774,0.0013753348465440156,4.414024458864274,0.6459914133899145,0.776598967397562,0.09311885488099496,0.0,0.0,0.23071694812405774,0.006000000000000005,0.0013843016887443477,0.0013843016887443477,0.009097881399636118,0.009097881399636118,0.008534597935868778,0.23954102795373056,22.696093867791603,0,physical_noise_dominant,4.997302602258262,-0.6772662288068023,3286.7064682877995,5.674568831065065
0.07200000000000001,0.06,0.3,0.075504,0.386135651732595,0.22772869653480998,0.3625668449197861,0.3450000000000001,0.07200000000000001,0.24836510778340348,0.0013198303538255996,4.323127406530362,0.6199210889225614,0.7606066325929285,0.08844724592645076,0.0,0.0,0.24836510778340348,0.006000000000000005,0.0014901906467004221,0.0014901906467004221,0.01058807204633654,0.01058807204633654,0.009876932879045279,0.4941437355240088,41.81820587591926,0,physical_noise_dominant,71.67869019433515,-10.104793805952394,3187.0186680212682,81.78348400028754
0.078,0.06,0.3,0.079056,0.39884418221123125,0.2023116355775375,0.38342245989304813,0.36000000000000004,0.078,0.26581762863703307,0.0012677585577318608,4.236176826212085,0.5954630936635361,0.7453086360550555,0.08420012205765462,1.0,0.47410473462758157,0.7399223632646146,0.0059999999999999915,0.0015949057718221962,0.004439534179587681,0.012182977818158736,0.01502760622592422,0.013940265515699646,0.7413594984647617,20.866450356848226,0,physical_noise_dominant,69.59903235944611,-9.63198980582387,-3491.959253178516,79.23102216526999
0.084,0.06,0.3,0.082608,0.41130262798275924,0.17739474403448152,0.4042780748663102,0.375,0.084,0.2830825859603315,0.0012187793508800545,4.152815257175994,0.572457680007057,0.7306420865065906,0.08032246750026006,1.0,0.45971404770457713,0.7427966336649086,0.006000000000000005,0.0016984955157619904,0.004456779801989455,0.013881473333920726,0.019484386027913674,0.01797452585600892,0.7445411398061867,0.5786329422652514,0,physical_noise_dominant,0.8957323596355167,-0.12920033977648515,-3381.3029024304888,1.0249326994120018
0.09,0.06,0.3,0.08615999999999999,0.4235208221318008,0.15295835573639838,0.4251336898395721,0.39,0.09,0.300167354566765,0.0011725991294604104,4.072731383013863,0.5507669429618218,0.7165522112557613,0.07676839593466872,1.0,0.44611829138070036,0.7462856459474654,0.0059999999999999915,0.0018010041274005876,0.004477713875684786,0.015682477461321315,0.02396209990359846,0.021983577893209594,0.7483030937719448,0.6700057828917991,0,physical_noise_dominant,1.0591086615308143,-0.15566339764132664,15.228806771084194,1.214772059172141
0.096,0.06,0.3,0.089712,0.4355077793621064,0.12898444127578723,0.4459893048128342,0.405,0.096,0.3170786954841466,0.0011289628201518573,3.995652410101854,0.5302710752128259,0.7029910152702427,0.07349933041343015,1.0,0.4332418461122769,0.7503205415964235,0.006000000000000005,0.001902472172904881,0.004501923249578545,0.017584949634226195,0.028464023153177004,0.025970824044869528,0.7525812092008881,0.7514053494234147,0,physical_noise_dominant,1.2044243887791168,-0.18034781968563607,13.566594421956644,1.384772208464753
0.10200000000000001,0.06,0.3,0.09326400000000001,0.4472717932346385,0.10545641353072299,0.4668449197860963,0.42000000000000015,0.10200000000000001,0.3338228288831982,0.0010876475317632642,3.921337957510703,0.5108653853127809,0.6899162061741798,0.07048260242085358,1.0,0.42101904792215405,0.7548418768053522,0.006000000000000005,0.002002936973299191,0.004529051260832117,0.019587886607525386,0.03299307441400912,0.029939268978229693,0.7573199579650258,0.8241499483543819,0,physical_noise_dominant,1.3341071971110665,-0.20347557321251486,12.124099821814823,1.5375827703235814
0.108,0.06,0.3,0.096816,0.4588205185715819,0.0823589628568362,0.4877005347593583,0.43500000000000005,0.108,0.35040549588055814,0.001048457451675355,3.849575112314472,0.4924579005533651,0.6772903242842448,0.06769036153038205,1.0,0.4093925432441423,0.7597980391247005,0.0059999999999999915,0.002102432975283346,0.004558788234748196,0.02169031958280873,0.03755186264875732,0.033891572787687105,0.7624710085811408,3.482915719958335,0,physical_noise_dominant,1.450183168951014,-0.22523451525445992,443.12762860066573,1.675417684205474
0.114,0.06,0.3,0.10036800000000001,0.47016104175148943,0.059677916497021144,0.5085561497326203,0.4500000000000002,0.114,0.36683201126014114,0.0010112197066398034,3.780174393302505,0.474967422792683,0.6650800324692309,0.0650987181184617,1.0,0.39831196677743913,0.7651439780375803,0.006000000000000005,0.002200992067560849,0.004590863868225486,0.02389131165036958,0.0421427265169828,0.037830095616681145,0.7991149466045258,15.557536085589348,0,physical_noise_dominant,10.316423993070487,-1.6553503381463095,2012.4367276051669,11.971774331216796
0.12,0.06,0.3,0.10392000000000001,0.4812999410411547,0.0374001179176906,0.5294117647058824,0.4650000000000002,0.12,0.3831073087220425,0.000876551806424645,3.712966429888429,0.4117142394556621,0.6532555318406834,0.21980392617548797,1.0,0.4499786064494307,0.8330859151714732,0.0059999999999999915,0.002298643852332252,0.004998515491028832,0.026189955502701832,0.04714124200801163,0.04209039465001038,0.9491614416082128,-4.957058130464382,0,physical_noise_dominant,42.24281953932602,-6.8617829499924845,-3419.099036008964,49.10460248931851
0.126,0.06,0.3,0.10747200000000001,0.49224333866910785,0.01551332266178429,0.5502673796791443,0.4800000000000001,0.126,0.3992359799376598,0.0005331045960051626,3.647799209317715,0.25039792478421213,0.6417900774294029,0.7716493824079947,1.0,0.6660009881072925,1.0652369680449523,0.006000000000000005,0.0023954158796259607,0.006391421808269719,0.028585371382327793,0.05353266381628135,0.047542330209841346,0.7396302490389521,-44.11064563422018,0,physical_noise_dominant,-58.98963754765149,20.16835426436655,-6525.597917292611,79.15799181201804
